partij,alias,lijsttrekker
CDA,,Wopke Hoekstra
CU,christenunie,Gert-Jan Segers
Denk,“denk partij”~5,Farid Azarkan
D66,,Sigrid Kaag
FvD,“forum voor democratie”,Thierry Baudet
GL,groenlinks,Jesse Klaver
PvdA,“partij voor de arbeid”,Lillianne Ploumen
PvdD,“partij voor de dieren”,Esther Ouwehand
PVV,,geert wilders
SGP,,kees van der staaij
SP,,lilian marijnissen
VVD,,mark rutte
50Plus,,lianne haan
Volt,,laurens dassen
JA21,,joost eerdmans
Bij1,,Sylvana Simons
CodeOranje,“code oranje”,Richard de mos
BBB,“boer burger beweging” boerburgerbeweging,Caroline van der Plas