"name_label","date","twitter_diff","final_label"
"Gert-Jan Segers (CU)",2021-02-03,0.43,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-04,0.5,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-05,0.52,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-06,0.53,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-07,0.54,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-08,0.56,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-09,0.57,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-10,0.59,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-11,0.6,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-12,0.61,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-13,0.67,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-14,0.77,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Gert-Jan Segers (CU)",2021-02-15,0.87,"Gert-Jan Segers (CU): 55,827 to 56,315 (+1%)"
"Kees van der Staaij (SGP)",2021-01-21,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-22,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-23,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-24,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-25,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-26,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-27,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-28,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-29,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-30,0,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-01-31,0.02,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-01,0.03,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-02,0.05,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-03,0.06,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-04,0.08,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-05,0.1,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-06,0.12,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-07,0.15,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-08,0.17,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-09,0.2,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-10,0.22,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-11,0.24,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-12,0.27,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-13,0.28,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-14,0.28,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-15,0.28,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Sigird Kaag (D66)",2021-01-21,0,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-22,0.34,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-23,0.68,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-24,1.02,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-25,1.36,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-26,1.7,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-27,2.04,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-28,2.38,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-29,2.72,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-30,3.02,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-31,3.19,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-01,3.35,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-02,3.52,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-03,3.69,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-04,3.82,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-05,3.85,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-06,3.89,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-07,3.93,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-08,3.96,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-09,4,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-10,4.03,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-11,4.07,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-12,4.1,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-13,4.34,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-14,4.79,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-15,5.23,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Liane den Haan (50PLUS)",2021-01-21,0,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-22,0.09,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-23,0.18,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-24,0.26,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-25,0.35,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-26,0.44,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-27,0.53,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-28,0.62,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-29,0.7,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-30,0.79,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-01-31,0.86,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-01,0.92,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-02,0.99,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-03,1.06,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-04,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-05,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-06,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-07,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-08,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-09,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-10,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-11,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-12,1.11,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-13,1.19,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-14,1.36,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Liane den Haan (50PLUS)",2021-02-15,1.53,"Liane den Haan (50PLUS): 2,840 to 2,884 (+2%)"
"Wopke Hoekstra (CDA)",2021-01-21,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-22,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-23,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-24,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-25,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-26,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-27,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-28,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-29,0,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-30,0.12,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-01-31,0.58,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-01,1.05,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-02,1.51,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-03,1.98,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-04,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-05,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-06,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-07,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-08,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-09,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-10,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-11,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-12,2.33,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-13,2.59,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-14,3.12,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Wopke Hoekstra (CDA)",2021-02-15,3.64,"Wopke Hoekstra (CDA): 40,648 to 42,184 (+4%)"
"Lilianne Ploumen (PvdA)",2021-01-21,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-22,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-23,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-24,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-25,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-26,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-27,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-28,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-29,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-30,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-01-31,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-01,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-02,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-03,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-04,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-05,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-06,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-07,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-08,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-09,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-10,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-11,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-12,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-13,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-14,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Lilianne Ploumen (PvdA)",2021-02-15,0,"Lilianne Ploumen (PvdA): 10,995 to 10,995 (+0%)"
"Geert Wilders (PVV)",2021-01-21,0,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-22,0.06,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-23,0.12,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-24,0.18,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-25,0.24,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-26,0.3,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-27,0.36,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-28,0.42,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-29,0.48,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-30,0.53,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-01-31,0.54,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-01,0.56,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-02,0.58,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-03,0.61,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-04,0.62,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-05,0.64,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-06,0.66,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-07,0.68,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-08,0.69,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-09,0.71,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-10,0.73,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-11,0.74,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-12,0.76,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-13,0.82,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-14,0.91,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
"Geert Wilders (PVV)",2021-02-15,1,"Geert Wilders (PVV): 844,064 to 853,010 (+1%)"
