name,variable,value,attribute
Caroline van der Plas,G2,4.80495867768595,Integer
Caroline van der Plas,G3,4.664462809917356,Sympathiek
Caroline van der Plas,G4,4.689256198347107,Weet wat er leeft
Caroline van der Plas,G5,4.545454545454546,Daadkrachtig
Caroline van der Plas,G6,4.424793388429752,Competent
Caroline van der Plas,G7,4.2,Komt beloftes na
Esther Ouwehand,G2,5.7792792792792795,Integer
Esther Ouwehand,G3,5.32545045045045,Sympathiek
Esther Ouwehand,G4,5.021420518602029,Weet wat er leeft
Esther Ouwehand,G5,4.9391891891891895,Daadkrachtig
Esther Ouwehand,G6,4.981981981981982,Competent
Esther Ouwehand,G7,4.600901916572717,Komt beloftes na
Farid Azarkan,G2,4.0111902339776195,Integer
Farid Azarkan,G3,3.6134282807731433,Sympathiek
Farid Azarkan,G4,4.030549898167006,Weet wat er leeft
Farid Azarkan,G5,3.782299084435402,Daadkrachtig
Farid Azarkan,G6,3.5574771108850456,Competent
Farid Azarkan,G7,3.5020366598778003,Komt beloftes na
Geert Wilders,G2,4.925925925925926,Integer
Geert Wilders,G3,4.428341384863124,Sympathiek
Geert Wilders,G4,5.789685737308622,Weet wat er leeft
Geert Wilders,G5,5.252818035426731,Daadkrachtig
Geert Wilders,G6,4.51207729468599,Competent
Geert Wilders,G7,4.327155519742144,Komt beloftes na
Gert-Jan Segers,G2,6.422521655437921,Integer
Gert-Jan Segers,G3,5.80846968238691,Sympathiek
Gert-Jan Segers,G4,5.467244701348748,Weet wat er leeft
Gert-Jan Segers,G5,5.280076997112609,Daadkrachtig
Gert-Jan Segers,G6,5.640038498556304,Competent
Gert-Jan Segers,G7,4.926782273603083,Komt beloftes na
Jesse Klaver,G2,5.169533169533169,Integer
Jesse Klaver,G3,4.971334971334971,Sympathiek
Jesse Klaver,G4,5.049180327868853,Weet wat er leeft
Jesse Klaver,G5,4.4185094185094185,Daadkrachtig
Jesse Klaver,G6,4.841113841113841,Competent
Jesse Klaver,G7,4.115573770491803,Komt beloftes na
Joost Eerdmans,G2,4.997737556561086,Integer
Joost Eerdmans,G3,4.869909502262443,Sympathiek
Joost Eerdmans,G4,5.050962627406569,Weet wat er leeft
Joost Eerdmans,G5,4.90158371040724,Daadkrachtig
Joost Eerdmans,G6,4.824660633484163,Competent
Joost Eerdmans,G7,4.30237825594564,Komt beloftes na
Kees van der Staaij,G2,6.012332990750257,Integer
Kees van der Staaij,G3,5.022610483042138,Sympathiek
Kees van der Staaij,G4,4.856995884773663,Weet wat er leeft
Kees van der Staaij,G5,4.922918807810894,Daadkrachtig
Kees van der Staaij,G6,5.0215827338129495,Competent
Kees van der Staaij,G7,4.771604938271605,Komt beloftes na
Laurens Dassen,G2,5.53250773993808,Integer
Laurens Dassen,G3,5.560371517027864,Sympathiek
Laurens Dassen,G4,5.164341085271317,Weet wat er leeft
Laurens Dassen,G5,5.091331269349845,Daadkrachtig
Laurens Dassen,G6,5.321981424148607,Competent
Laurens Dassen,G7,4.63875968992248,Komt beloftes na
Liane den Haan,G2,4.699879951980792,Integer
Liane den Haan,G3,4.206482593037215,Sympathiek
Liane den Haan,G4,4.186298076923077,Weet wat er leeft
Liane den Haan,G5,3.9279711884753903,Daadkrachtig
Liane den Haan,G6,4.052821128451381,Competent
Liane den Haan,G7,3.701923076923077,Komt beloftes na
Lilian Marijnissen,G2,6.618006993006993,Integer
Lilian Marijnissen,G3,6.409965034965035,Sympathiek
Lilian Marijnissen,G4,6.426946631671041,Weet wat er leeft
Lilian Marijnissen,G5,5.616258741258742,Daadkrachtig
Lilian Marijnissen,G6,6.003496503496503,Competent
Lilian Marijnissen,G7,5.188101487314086,Komt beloftes na
Lilian Ploumen,G2,6.096892138939671,Integer
Lilian Ploumen,G3,5.865630712979891,Sympathiek
Lilian Ploumen,G4,5.616651418115279,Weet wat er leeft
Lilian Ploumen,G5,5.20201096892139,Daadkrachtig
Lilian Ploumen,G6,5.611517367458867,Competent
Lilian Ploumen,G7,4.823421774931382,Komt beloftes na
Mark Rutte,G2,6.047465808527756,Integer
Mark Rutte,G3,6.18744971842317,Sympathiek
Mark Rutte,G4,6.027375201288245,Weet wat er leeft
Mark Rutte,G5,6.51005631536605,Daadkrachtig
Mark Rutte,G6,6.279967819790829,Competent
Mark Rutte,G7,4.5893719806763285,Komt beloftes na
Sigrid Kaag,G2,6.074010327022375,Integer
Sigrid Kaag,G3,5.773666092943201,Sympathiek
Sigrid Kaag,G4,5.825150732127477,Weet wat er leeft
Sigrid Kaag,G5,5.959552495697074,Daadkrachtig
Sigrid Kaag,G6,5.831325301204819,Competent
Sigrid Kaag,G7,4.897502153316107,Komt beloftes na
Sylvana Simons,G2,3.325268817204301,Integer
Sylvana Simons,G3,2.9444444444444446,Sympathiek
Sylvana Simons,G4,3.3955156950672647,Weet wat er leeft
Sylvana Simons,G5,3.4184587813620073,Daadkrachtig
Sylvana Simons,G6,2.949820788530466,Competent
Sylvana Simons,G7,3.123766816143498,Komt beloftes na
Thierry Baudet,G2,3.341824157764996,Integer
Thierry Baudet,G3,3.1865242399342644,Sympathiek
Thierry Baudet,G4,4.0962171052631575,Weet wat er leeft
Thierry Baudet,G5,3.9753492193919473,Daadkrachtig
Thierry Baudet,G6,3.3089564502875923,Competent
Thierry Baudet,G7,3.307565789473684,Komt beloftes na
Wopke Hoekstra,G2,5.995719178082192,Integer
Wopke Hoekstra,G3,5.797089041095891,Sympathiek
Wopke Hoekstra,G4,5.39331619537275,Weet wat er leeft
Wopke Hoekstra,G5,5.319349315068493,Daadkrachtig
Wopke Hoekstra,G6,5.760273972602739,Competent
Wopke Hoekstra,G7,4.608397600685518,Komt beloftes na
