mtype,party,n,perc,regering,rechts,tk2017,polls,tk2017p,pollsp,kanaal
Newspapers,50Plus,163,0.014522451888809693,0,0,4,1,0.02666666666666667,0.006666666666666667,Kranten
Newspapers,CDA,1559,0.13889878831076266,1,0,19,20,0.12666666666666668,0.13333333333333333,Kranten
Newspapers,CU,606,0.05399144689950107,1,0,5,6,0.03333333333333333,0.04,Kranten
Newspapers,D66,1346,0.1199215965787598,1,0,19,15,0.12666666666666668,0.1,Kranten
Newspapers,Denk,92,0.00819672131147541,0,0,3,2,0.02,0.013333333333333334,Kranten
Newspapers,FvD,596,0.05310049893086244,0,1,2,3,0.013333333333333334,0.02,Kranten
Newspapers,GL,1054,0.09390591589451176,0,-1,14,11,0.09333333333333334,0.07333333333333333,Kranten
Newspapers,JA21,115,0.010245901639344262,0,1,0,1,0,0.006666666666666667,Kranten
Newspapers,PvdA,1093,0.09738061297220242,0,-1,9,12,0.06,0.08,Kranten
Newspapers,PvdD,292,0.02601568068424804,0,-1,5,7,0.03333333333333333,0.04666666666666667,Kranten
Newspapers,PVV,845,0.07528510334996436,0,1,20,22,0.13333333333333333,0.14666666666666667,Kranten
Newspapers,SGP,314,0.02797576621525303,0,1,3,2,0.02,0.013333333333333334,Kranten
Newspapers,SP,776,0.0691375623663578,0,-1,14,10,0.09333333333333334,0.06666666666666667,Kranten
Newspapers,Volt,83,0.0073948681397006414,0,0,0,0,0,0,Kranten
Newspapers,VVD,2148,0.19137562366357805,1,1,33,38,0.22,0.25333333333333335,Kranten
Online,50Plus,60,0.027945971122496506,0,0,4,1,0.02666666666666667,0.006666666666666667,NOS.nl (online)
Online,CDA,229,0.10666045645086167,1,0,19,20,0.12666666666666668,0.13333333333333333,NOS.nl (online)
Online,CU,147,0.06846762925011644,1,0,5,6,0.03333333333333333,0.04,NOS.nl (online)
Online,D66,232,0.10805775500698649,1,0,19,15,0.12666666666666668,0.1,NOS.nl (online)
Online,Denk,39,0.018164881229622728,0,0,3,2,0.02,0.013333333333333334,NOS.nl (online)
Online,FvD,130,0.06054960409874243,0,1,2,3,0.013333333333333334,0.02,NOS.nl (online)
Online,GL,200,0.09315323707498836,0,-1,14,11,0.09333333333333334,0.07333333333333333,NOS.nl (online)
Online,JA21,44,0.020493712156497437,0,1,0,1,0,0.006666666666666667,NOS.nl (online)
Online,PvdA,201,0.09361900326036329,0,-1,9,12,0.06,0.08,NOS.nl (online)
Online,PvdD,96,0.04471355379599441,0,-1,5,7,0.03333333333333333,0.04666666666666667,NOS.nl (online)
Online,PVV,160,0.07452258965999069,0,1,20,22,0.13333333333333333,0.14666666666666667,NOS.nl (online)
Online,SGP,92,0.042850489054494643,0,1,3,2,0.02,0.013333333333333334,NOS.nl (online)
Online,SP,174,0.08104331625523988,0,-1,14,10,0.09333333333333334,0.06666666666666667,NOS.nl (online)
Online,Volt,29,0.01350721937587331,0,0,0,0,0,0,NOS.nl (online)
Online,VVD,266,0.12389380530973451,1,1,33,38,0.22,0.25333333333333335,NOS.nl (online)
RTL,50Plus,1,0.02702702702702703,0,0,4,1,0.02666666666666667,0.006666666666666667,Jinek (gasten)
RTL,CDA,6,0.16216216216216217,1,0,19,20,0.12666666666666668,0.13333333333333333,Jinek (gasten)
RTL,CU,3,0.08108108108108109,1,0,5,6,0.03333333333333333,0.04,Jinek (gasten)
RTL,D66,5,0.13513513513513514,1,0,19,15,0.12666666666666668,0.1,Jinek (gasten)
RTL,Denk,3,0.08108108108108109,0,0,3,2,0.02,0.013333333333333334,Jinek (gasten)
RTL,FvD,2,0.05405405405405406,0,1,2,3,0.013333333333333334,0.02,Jinek (gasten)
RTL,GL,2,0.05405405405405406,0,-1,14,11,0.09333333333333334,0.07333333333333333,Jinek (gasten)
RTL,JA21,2,0.05405405405405406,0,1,0,1,0,0.006666666666666667,Jinek (gasten)
RTL,PvdA,4,0.10810810810810811,0,-1,9,12,0.06,0.08,Jinek (gasten)
RTL,PVV,1,0.02702702702702703,0,1,20,22,0.13333333333333333,0.14666666666666667,Jinek (gasten)
RTL,SGP,1,0.02702702702702703,0,1,3,2,0.02,0.013333333333333334,Jinek (gasten)
RTL,SP,4,0.10810810810810811,0,-1,14,10,0.09333333333333334,0.06666666666666667,Jinek (gasten)
RTL,Volt,1,0.02702702702702703,0,0,0,0,0,0,Jinek (gasten)
RTL,VVD,2,0.05405405405405406,1,1,33,38,0.22,0.25333333333333335,Jinek (gasten)
Talkshow,50Plus,1,0.011904761904761904,0,0,4,1,0.02666666666666667,0.006666666666666667,Talkshows NPO (gasten)
Talkshow,CDA,15,0.17857142857142858,1,0,19,20,0.12666666666666668,0.13333333333333333,Talkshows NPO (gasten)
Talkshow,CU,6,0.07142857142857142,1,0,5,6,0.03333333333333333,0.04,Talkshows NPO (gasten)
Talkshow,D66,9,0.10714285714285714,1,0,19,15,0.12666666666666668,0.1,Talkshows NPO (gasten)
Talkshow,FvD,2,0.023809523809523808,0,1,2,3,0.013333333333333334,0.02,Talkshows NPO (gasten)
Talkshow,GL,6,0.07142857142857142,0,-1,14,11,0.09333333333333334,0.07333333333333333,Talkshows NPO (gasten)
Talkshow,JA21,2,0.023809523809523808,0,1,0,1,0,0.006666666666666667,Talkshows NPO (gasten)
Talkshow,PvdA,9,0.10714285714285714,0,-1,9,12,0.06,0.08,Talkshows NPO (gasten)
Talkshow,PvdD,6,0.07142857142857142,0,-1,5,7,0.03333333333333333,0.04666666666666667,Talkshows NPO (gasten)
Talkshow,PVV,2,0.023809523809523808,0,1,20,22,0.13333333333333333,0.14666666666666667,Talkshows NPO (gasten)
Talkshow,SGP,3,0.03571428571428571,0,1,3,2,0.02,0.013333333333333334,Talkshows NPO (gasten)
Talkshow,SP,11,0.13095238095238096,0,-1,14,10,0.09333333333333334,0.06666666666666667,Talkshows NPO (gasten)
Talkshow,Volt,1,0.011904761904761904,0,0,0,0,0,0,Talkshows NPO (gasten)
Talkshow,VVD,9,0.10714285714285714,1,1,33,38,0.22,0.25333333333333335,Talkshows NPO (gasten)
TV,50Plus,20,0.018018018018018018,0,0,4,1,0.02666666666666667,0.006666666666666667,TV (nieuws & actualiteiten)
TV,CDA,139,0.12522522522522522,1,0,19,20,0.12666666666666668,0.13333333333333333,TV (nieuws & actualiteiten)
TV,CU,56,0.05045045045045045,1,0,5,6,0.03333333333333333,0.04,TV (nieuws & actualiteiten)
TV,D66,127,0.11441441441441441,1,0,19,15,0.12666666666666668,0.1,TV (nieuws & actualiteiten)
TV,Denk,26,0.023423423423423424,0,0,3,2,0.02,0.013333333333333334,TV (nieuws & actualiteiten)
TV,FvD,64,0.05765765765765766,0,1,2,3,0.013333333333333334,0.02,TV (nieuws & actualiteiten)
TV,GL,103,0.09279279279279279,0,-1,14,11,0.09333333333333334,0.07333333333333333,TV (nieuws & actualiteiten)
TV,JA21,26,0.023423423423423424,0,1,0,1,0,0.006666666666666667,TV (nieuws & actualiteiten)
TV,PvdA,89,0.08018018018018018,0,-1,9,12,0.06,0.08,TV (nieuws & actualiteiten)
TV,PvdD,31,0.027927927927927927,0,-1,5,7,0.03333333333333333,0.04666666666666667,TV (nieuws & actualiteiten)
TV,PVV,96,0.08648648648648649,0,1,20,22,0.13333333333333333,0.14666666666666667,TV (nieuws & actualiteiten)
TV,SGP,26,0.023423423423423424,0,1,3,2,0.02,0.013333333333333334,TV (nieuws & actualiteiten)
TV,SP,74,0.06666666666666667,0,-1,14,10,0.09333333333333334,0.06666666666666667,TV (nieuws & actualiteiten)
TV,Volt,18,0.016216216216216217,0,0,0,0,0,0,TV (nieuws & actualiteiten)
TV,VVD,186,0.16756756756756758,1,1,33,38,0.22,0.25333333333333335,TV (nieuws & actualiteiten)
