wave,gender,name,value,id
0,Man,Politici maken zich niet druk om mensen zoals ik,6.438247011952191,Legitimiteit van Politiek
0,Man,Politici zijn alleen maar ge誰nteresseerd in mijn stem,6.607569721115538,Legitimiteit van Politiek
0,Man,Politici beloven meer dan ze kunnen waarmaken,7.539840637450199,Legitimiteit van Politiek
0,Man,Kamerlid word je door je politieke vrienden,6.083665338645418,Legitimiteit van Politiek
0,Man,De meeste politici zijn bekwame mensen die weten wat ze doen,6.241035856573705,Legitimiteit van Politiek
0,Man,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.565737051792829,Legitimiteit van Politiek
0,Man,Het sluiten van compromissen is het verraden van je principes,5.830677290836653,Legitimiteit van Politiek
0,Man,Een sterke regeringsleider is goed voor Nederland,6.752988047808765,Legitimiteit van Politiek
0,Man,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.00597609561753,Legitimiteit van Politiek
0,Man,Rechtspraak,5.924151696606787,Vertrouwen in Instituties
0,Man,Journalistiek,5.017964071856287,Vertrouwen in Instituties
0,Man,Regering,5.142714570858283,Vertrouwen in Instituties
0,Man,Tweede Kamer,5.2445109780439125,Vertrouwen in Instituties
0,Man,Europese Unie,4.822355289421158,Vertrouwen in Instituties
0,Man,Politieke Partijen,4.765469061876248,Vertrouwen in Instituties
0,Man,Politici,4.743512974051896,Vertrouwen in Instituties
0,Man,Nederlandse Democratie,5.688622754491018,Vertrouwen in Instituties
0,Man,Wetenschap,6.818363273453094,Vertrouwen in Instituties
0,Man,Grote Bedrijven,4.474051896207585,Vertrouwen in Instituties
0,Man,Banken,4.711576846307385,Vertrouwen in Instituties
0,Vrouw,Politici maken zich niet druk om mensen zoals ik,6.584681769147789,Legitimiteit van Politiek
0,Vrouw,Politici zijn alleen maar ge誰nteresseerd in mijn stem,6.856526429341963,Legitimiteit van Politiek
0,Vrouw,Politici beloven meer dan ze kunnen waarmaken,7.605177993527508,Legitimiteit van Politiek
0,Vrouw,Kamerlid word je door je politieke vrienden,6.558791801510248,Legitimiteit van Politiek
0,Vrouw,De meeste politici zijn bekwame mensen die weten wat ze doen,6.133764832793959,Legitimiteit van Politiek
0,Vrouw,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.691477885652643,Legitimiteit van Politiek
0,Vrouw,Het sluiten van compromissen is het verraden van je principes,6.166127292340884,Legitimiteit van Politiek
0,Vrouw,Een sterke regeringsleider is goed voor Nederland,6.912621359223301,Legitimiteit van Politiek
0,Vrouw,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.010787486515642,Legitimiteit van Politiek
0,Vrouw,Rechtspraak,6.159090909090909,Vertrouwen in Instituties
0,Vrouw,Journalistiek,5.5562770562770565,Vertrouwen in Instituties
0,Vrouw,Regering,5.2435064935064934,Vertrouwen in Instituties
0,Vrouw,Tweede Kamer,5.476190476190476,Vertrouwen in Instituties
0,Vrouw,Europese Unie,4.711038961038961,Vertrouwen in Instituties
0,Vrouw,Politieke Partijen,4.853896103896104,Vertrouwen in Instituties
0,Vrouw,Politici,4.7976190476190474,Vertrouwen in Instituties
0,Vrouw,Nederlandse Democratie,5.991341991341991,Vertrouwen in Instituties
0,Vrouw,Wetenschap,7.16017316017316,Vertrouwen in Instituties
0,Vrouw,Grote Bedrijven,4.707792207792208,Vertrouwen in Instituties
0,Vrouw,Banken,4.653679653679654,Vertrouwen in Instituties
1,Man,Politici maken zich niet druk om mensen zoals ik,6.583190394511149,Legitimiteit van Politiek
1,Man,Politici zijn alleen maar ge誰nteresseerd in mijn stem,6.8164665523156085,Legitimiteit van Politiek
1,Man,Politici beloven meer dan ze kunnen waarmaken,7.787307032590052,Legitimiteit van Politiek
1,Man,Kamerlid word je door je politieke vrienden,6.322469982847341,Legitimiteit van Politiek
1,Man,De meeste politici zijn bekwame mensen die weten wat ze doen,6.264150943396227,Legitimiteit van Politiek
1,Man,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.4682675814751285,Legitimiteit van Politiek
1,Man,Het sluiten van compromissen is het verraden van je principes,6.085763293310463,Legitimiteit van Politiek
1,Man,Een sterke regeringsleider is goed voor Nederland,6.809605488850772,Legitimiteit van Politiek
1,Man,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.102915951972555,Legitimiteit van Politiek
1,Man,Rechtspraak,6.181818181818182,Vertrouwen in Instituties
1,Man,Journalistiek,5.246998284734134,Vertrouwen in Instituties
1,Man,Regering,5.284734133790738,Vertrouwen in Instituties
1,Man,Tweede Kamer,5.44253859348199,Vertrouwen in Instituties
1,Man,Europese Unie,5.049742710120069,Vertrouwen in Instituties
1,Man,Politieke Partijen,4.885077186963979,Vertrouwen in Instituties
1,Man,Politici,4.789022298456261,Vertrouwen in Instituties
1,Man,Nederlandse Democratie,5.866209262435677,Vertrouwen in Instituties
1,Man,Wetenschap,6.886792452830188,Vertrouwen in Instituties
1,Man,Grote Bedrijven,4.4459691252144085,Vertrouwen in Instituties
1,Man,Banken,4.667238421955403,Vertrouwen in Instituties
1,Vrouw,Politici maken zich niet druk om mensen zoals ik,6.515625,Legitimiteit van Politiek
1,Vrouw,Politici zijn alleen maar ge誰nteresseerd in mijn stem,6.778125,Legitimiteit van Politiek
1,Vrouw,Politici beloven meer dan ze kunnen waarmaken,7.7,Legitimiteit van Politiek
1,Vrouw,Kamerlid word je door je politieke vrienden,6.54375,Legitimiteit van Politiek
1,Vrouw,De meeste politici zijn bekwame mensen die weten wat ze doen,6.0375,Legitimiteit van Politiek
1,Vrouw,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.66875,Legitimiteit van Politiek
1,Vrouw,Het sluiten van compromissen is het verraden van je principes,6.14375,Legitimiteit van Politiek
1,Vrouw,Een sterke regeringsleider is goed voor Nederland,6.796875,Legitimiteit van Politiek
1,Vrouw,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.059375,Legitimiteit van Politiek
1,Vrouw,Rechtspraak,6.228125,Vertrouwen in Instituties
1,Vrouw,Journalistiek,5.7671875,Vertrouwen in Instituties
1,Vrouw,Regering,5.30625,Vertrouwen in Instituties
1,Vrouw,Tweede Kamer,5.55,Vertrouwen in Instituties
1,Vrouw,Europese Unie,4.80625,Vertrouwen in Instituties
1,Vrouw,Politieke Partijen,4.8765625,Vertrouwen in Instituties
1,Vrouw,Politici,4.759375,Vertrouwen in Instituties
1,Vrouw,Nederlandse Democratie,6.2125,Vertrouwen in Instituties
1,Vrouw,Wetenschap,7.1234375,Vertrouwen in Instituties
1,Vrouw,Grote Bedrijven,4.571875,Vertrouwen in Instituties
1,Vrouw,Banken,4.378125,Vertrouwen in Instituties
